game_id,p1_id,p2_id,p1_action,p2_action,turn
0,174,125,TRUST,CHEAT,1
0,174,125,CHEAT,TRUST,2
0,174,125,TRUST,TRUST,3
0,174,125,TRUST,TRUST,4
0,174,125,TRUST,TRUST,5
0,174,125,TRUST,TRUST,6
0,174,125,TRUST,TRUST,7
0,174,125,TRUST,TRUST,8
0,174,125,TRUST,TRUST,9
0,174,125,TRUST,TRUST,10
0,174,125,TRUST,CHEAT,11
0,174,125,CHEAT,TRUST,12
0,174,125,TRUST,TRUST,13
0,174,125,TRUST,TRUST,14
0,174,125,TRUST,TRUST,15
0,174,125,TRUST,TRUST,16
0,174,125,TRUST,TRUST,17
0,174,125,TRUST,TRUST,18
0,174,125,TRUST,TRUST,19
0,174,125,TRUST,TRUST,20
0,174,125,TRUST,TRUST,21
0,174,125,TRUST,TRUST,22
0,174,125,TRUST,TRUST,23
0,174,125,CHEAT,CHEAT,24
0,174,125,CHEAT,TRUST,25
0,174,125,CHEAT,TRUST,26
0,174,125,TRUST,TRUST,27
0,174,125,TRUST,TRUST,28
0,174,125,TRUST,CHEAT,29
0,174,125,CHEAT,TRUST,30
0,174,125,TRUST,TRUST,31
0,174,125,TRUST,TRUST,32
0,174,125,TRUST,TRUST,33
0,174,125,TRUST,TRUST,34
0,174,125,TRUST,TRUST,35
0,174,125,TRUST,TRUST,36
0,174,125,TRUST,TRUST,37
0,174,125,TRUST,TRUST,38
0,174,125,TRUST,TRUST,39
0,174,125,TRUST,TRUST,40
0,174,125,TRUST,CHEAT,41
0,174,125,CHEAT,TRUST,42
0,174,125,TRUST,TRUST,43
0,174,125,TRUST,TRUST,44
0,174,125,TRUST,TRUST,45
0,174,125,TRUST,TRUST,46
0,174,125,TRUST,TRUST,47
0,174,125,TRUST,TRUST,48
0,174,125,TRUST,CHEAT,49
0,174,125,CHEAT,TRUST,50
0,174,125,TRUST,TRUST,51
0,174,125,TRUST,TRUST,52
0,174,125,TRUST,CHEAT,53
0,174,125,CHEAT,TRUST,54
0,174,125,TRUST,CHEAT,55
0,174,125,CHEAT,TRUST,56
0,174,125,CHEAT,TRUST,57
0,174,125,TRUST,TRUST,58
1,121,82,CHEAT,TRUST,1
1,121,82,TRUST,CHEAT,2
1,121,82,TRUST,CHEAT,3
1,121,82,TRUST,CHEAT,4
1,121,82,TRUST,CHEAT,5
1,121,82,CHEAT,CHEAT,6
1,121,82,TRUST,TRUST,7
1,121,82,TRUST,TRUST,8
1,121,82,TRUST,TRUST,9
1,121,82,TRUST,TRUST,10
1,121,82,TRUST,TRUST,11
1,121,82,TRUST,TRUST,12
1,121,82,TRUST,TRUST,13
1,121,82,TRUST,TRUST,14
1,121,82,TRUST,TRUST,15
1,121,82,TRUST,TRUST,16
1,121,82,TRUST,TRUST,17
1,121,82,CHEAT,TRUST,18
1,121,82,TRUST,CHEAT,19
1,121,82,TRUST,CHEAT,20
1,121,82,TRUST,CHEAT,21
1,121,82,TRUST,CHEAT,22
1,121,82,TRUST,CHEAT,23
1,121,82,TRUST,CHEAT,24
1,121,82,TRUST,CHEAT,25
1,121,82,TRUST,CHEAT,26
1,121,82,TRUST,CHEAT,27
1,121,82,TRUST,CHEAT,28
1,121,82,TRUST,CHEAT,29
1,121,82,TRUST,CHEAT,30
1,121,82,TRUST,CHEAT,31
1,121,82,TRUST,CHEAT,32
1,121,82,TRUST,CHEAT,33
1,121,82,TRUST,CHEAT,34
1,121,82,TRUST,CHEAT,35
1,121,82,TRUST,CHEAT,36
1,121,82,TRUST,CHEAT,37
1,121,82,TRUST,TRUST,38
1,121,82,TRUST,TRUST,39
1,121,82,TRUST,TRUST,40
1,121,82,TRUST,TRUST,41
1,121,82,TRUST,TRUST,42
1,121,82,TRUST,TRUST,43
1,121,82,TRUST,TRUST,44
1,121,82,TRUST,TRUST,45
1,121,82,TRUST,TRUST,46
1,121,82,TRUST,TRUST,47
1,121,82,TRUST,TRUST,48
1,121,82,TRUST,TRUST,49
1,121,82,TRUST,TRUST,50
1,121,82,TRUST,TRUST,51
1,121,82,TRUST,TRUST,52
1,121,82,TRUST,TRUST,53
1,121,82,TRUST,TRUST,54
1,121,82,TRUST,TRUST,55
1,121,82,TRUST,TRUST,56
1,121,82,TRUST,TRUST,57
1,121,82,TRUST,TRUST,58
1,121,82,TRUST,TRUST,59
1,121,82,TRUST,TRUST,60
1,121,82,TRUST,TRUST,61
1,121,82,TRUST,TRUST,62
1,121,82,TRUST,TRUST,63
1,121,82,TRUST,TRUST,64
1,121,82,TRUST,TRUST,65
1,121,82,TRUST,TRUST,66
1,121,82,TRUST,TRUST,67
1,121,82,CHEAT,TRUST,68
1,121,82,TRUST,CHEAT,69